City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,penapolis,-21.4197,-50.0775,24.29,43,100,4.84,BR,1723164410
84,port mathurin,-19.6833,63.4167,22.49,73,54,9.54,MU,1723164411
85,sitka,57.0531,-135.33,17.94,77,20,2.06,US,1723164412
86,sur,22.5667,59.5289,27.33,75,91,4.51,OM,1723164413
87,tazovsky,67.4667,78.7,6.89,79,14,5.98,RU,1723164415
88,laurel,39.0993,-76.8483,26.53,96,100,6.17,US,1723164417
89,stiens,53.2623,5.7577,19.43,82,75,5.66,NL,1723164418
90,punta arenas,-53.15,-70.9167,4.06,87,20,3.09,CL,1723164419
91,sorong,-0.8833,131.25,27.35,80,100,4.59,ID,1723164420
92,kununurra,-15.7667,128.7333,25.99,34,6,4.12,AU,1723164149
93,businga,3.3333,20.8833,21.59,97,91,0.74,CD,1723164422
94,kokopo,-4.352,152.2633,29.54,66,42,6.64,PG,1723164424
95,udachny,66.4167,112.4,10.74,81,98,4.92,RU,1723164425
96,edinburgh of the seven seas,-37.0676,-12.3116,14.56,92,100,16.6,SH,1723164426
97,revelstoke,50.9832,-118.2023,29.01,39,100,1.03,CA,1723164427
98,kodinsk,58.6881,99.1844,19.03,79,35,2.34,RU,1723164428
99,kolonia,50.9333,6.95,21.05,67,100,3.47,DE,1723164429
100,mikuni,36.2171,136.1519,28.95,74,58,2.95,JP,1723164431
101,livingstone,-17.8419,25.8543,17.66,31,0,1.39,ZM,1723164432
102,petauke,-14.2426,31.3253,16.28,47,8,2.66,ZM,1723164433
103,izluchinsk,60.9794,76.9242,12.01,68,100,5.16,RU,1723164240
104,brades,16.7918,-62.2106,27.82,77,0,8.71,MS,1723164435
105,isafjordur,66.0755,-23.124,5.69,93,100,3.34,IS,1723164437
106,talakan,50.3167,130.3667,21.09,82,66,1.1,RU,1723164438
107,talnakh,69.4865,88.3972,12.05,60,10,1.36,RU,1723164439
108,concepcion,-36.827,-73.0498,8.89,93,6,1.03,CL,1723164440
109,balqash,46.8481,74.995,24.44,57,100,2.8,KZ,1723164441
110,san patricio,28.017,-97.5169,32.05,60,0,4.88,US,1723164442
111,jinxiang,27.4327,120.6062,29.58,75,78,1.62,CN,1723164444
112,susuman,62.7833,148.1667,15.58,50,0,0.34,RU,1723164445
113,hilo,19.7297,-155.09,28.38,74,0,3.6,US,1723164446
114,caxito,-8.5785,13.6643,18.6,95,59,0.4,AO,1723164447
115,georgetown,5.4112,100.3354,28.96,78,20,2.57,MY,1723164448
116,solnechnyy,50.7214,136.6319,18.64,76,100,2.66,RU,1723164450
117,colonia,50.9333,6.95,21.05,67,100,3.47,DE,1723164429
